row_index,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
1239,4.265837122754653,0.8487142887725271,0.2631793715276706,-0.14106338548902456,0.5598841580841367,-0.19927893446330827,-0.07394084570217772,-0.04226858829927806
1240,2.482353616078279,2.5275676946491847,0.4848992400433391,0.39758471054450645,1.4232835360768628,-0.39860407742627807,0.1502150096613873,-0.1560509278127895
1241,1.2250315075447122,3.4812373508650816,1.7813864580357746,1.5924460051540579,0.12565313302175227,-0.2804649652038248,-0.009163656777963283,0.12090132942948913
1242,1.4413271709432847,3.4140488366873103,1.8959257577599904,1.6460340339237334,0.20801320353323943,-0.39200436094451896,0.0627781959932934,0.17875258453777645
1243,-1.7704825628775984,0.4918145495100035,-0.23280960084938754,-0.3511719271185146,-0.041184120514305346,-0.02499689948892135,-0.12437400375498717,0.019210071248191424
1244,-1.7896014984705302,0.4787245893713288,-0.2284490977598671,-0.3643392806281092,-0.04739287758616016,-0.025079791929683827,-0.1255935170877299,0.0140566530150007
1245,-1.8077676172268158,0.46409789295151405,-0.2279971448280939,-0.3799301219522396,-0.05078320973143489,-0.028887687331586313,-0.1271387074692021,0.010308851837581625
1246,-1.813878607541509,0.4615216320427505,-0.22292946440524472,-0.38252376042853153,-0.05482453592758571,-0.028939502500794526,-0.12702118698965928,0.005262113588071779
1247,-1.515193572190526,0.9066641457175934,0.20811483902576308,0.06019375313362321,-0.1982380320363705,0.05633280516194578,-0.10086951836786051,-0.04093585060153089
1248,-1.472500222401916,0.9851079471242149,0.28768255094531336,0.1552442820076782,-0.2371079241636336,0.09364893866803246,-0.09346738447625692,-0.05548294442699672
1249,-1.8044603950916882,0.48187267869154377,-0.1845305611049098,-0.37765239644264315,-0.06317638138732119,-0.04087415002794178,-0.12815437485712738,-0.00271514062654714
1250,-1.7229775246044394,0.6095556038052505,-0.059155827204770285,-0.2455557782655432,-0.10840018777672492,-0.005136203711461046,-0.1210861511358769,-0.010725779232121683
1251,-1.8500385201113978,0.4350933754417379,-0.2106148197850742,-0.4191596877844204,-0.06353084747002327,-0.03806281437873078,-0.1304947933087789,-0.006114476088866813
1252,-1.8299368950648502,0.4567405722062131,-0.19247811905435536,-0.4064846305969002,-0.06298958286976603,-0.0436131532998362,-0.13067852614029513,-0.0038678968992422154
1253,-1.8489484648745753,0.43781420493398093,-0.20606696073104835,-0.41671721201478484,-0.06604006912515362,-0.03699766023964125,-0.12943581788792174,-0.011551488549146116
1254,-1.854466744422946,0.43623284563556164,-0.19755524756897042,-0.4229534459788143,-0.06837033501487672,-0.039436217519284285,-0.13129454562456322,-0.009697909971137848
1255,-1.631428797491429,0.7868206504301887,0.1455174870382383,-0.051709302635320524,-0.20030868863508144,0.06354675810182892,-0.10489154306768746,-0.061793453029196276
1256,-1.8689880920915154,0.42564806114897413,-0.19256079011051078,-0.43796575093926293,-0.07158665316592622,-0.04268925954405423,-0.13299260510372815,-0.012734713714682312
1257,-1.8653386653049562,0.4300065510400791,-0.18998670163649142,-0.432341557998475,-0.07318966745511973,-0.041142060999150416,-0.1317832407730079,-0.01643918766504611
1258,-1.8707575175587183,0.42430130784014924,-0.19112553425720427,-0.43982210865886273,-0.07314057160465377,-0.0445887063952738,-0.13195467421025417,-0.019978976173945312
1259,-1.8753674507184255,0.4236375264407653,-0.18314600576795456,-0.44465639825037906,-0.0750545898730135,-0.04443476734170431,-0.13417563575803043,-0.014628295735917006
1260,-1.8721240924437779,0.426869231795281,-0.18280740189965508,-0.4382037826202308,-0.07730885903513772,-0.042988165904235265,-0.13167258233578116,-0.023808672413502905
1261,-1.7768224112903022,0.5831505456439424,-0.023385514264161595,-0.2719244934908725,-0.1407110271948566,0.0035795131157285508,-0.11967053822632752,-0.05143694939519313
1262,-1.6285579475666474,0.46461774897515096,0.1473220139987752,-0.12716622505810435,-0.15298233392183716,0.03892861955736256,-0.08225570267709034,-0.0603145346955862
1263,-1.8698825508613581,0.43079982047030596,-0.17451625828032855,-0.43832595181800055,-0.07937706920823757,-0.047216475762218726,-0.13093888883713614,-0.031063237330582548
1264,-1.759193120889972,0.39802566268975653,-0.006560435729073967,-0.3071901794646854,-0.10351608821162958,-0.020307918002160388,0.006973459210287586,-0.016887473500782072
1265,-1.8846730289583804,0.42029303582026656,-0.1694584593163577,-0.45360649386442414,-0.08189281764300607,-0.04943009145756063,-0.13371138250726167,-0.028690556812472626
1266,-1.7757357963797629,0.37355866608556565,-0.026111089833060704,-0.33678897767450616,-0.09504333874134614,-0.029381620836739012,0.004943339416940458,-0.01573382316496526
1267,-1.798279495317314,0.41508790756210584,-0.044905456819755156,-0.3459567316802848,-0.1044682148929681,-0.027451945378684277,-0.038200918842323656,-0.03066996941363006
1268,-1.8509136013782135,0.40448625115163794,-0.11655728551968962,-0.4161484299148187,-0.08909623489777219,-0.04377597216190877,-0.08709121376752017,-0.02969974188883402
1269,-1.8227491140981817,0.517920819527404,-0.07035479533445956,-0.35227915425088874,-0.12046766370126319,-0.02635058920067242,-0.12463573582038454,-0.05534231492108954
1270,-1.8432925774975062,0.41526360239864135,-0.12501594710778255,-0.4105137762554681,-0.09208717883484993,-0.0383314498423878,-0.1806782470111847,-0.05294036548532595
1271,2.338792274474012,-0.8713899827600678,-0.7885186053365442,0.6424344131841182,-0.2985446890266253,-0.058910188218039596,-0.026271757626962034,0.036941662386594715
