noise,coupling,conn_complex,cv,cv2,isi_distance,max_cluster,mean_firing_rate,pearson_correlation,fano_factor,spike_contrast,spike_distance,spike_sync,largest_assembly,assembly_variety
0.0002,0.06,50,0.01120036,0.00163586,0.00234,26,2.31224,0.99538958,9.134e-05,0.99885084,0.00137,0.99991,50,12
0.0002,0.065,50,0.00128058,0.00140087,0.00114,27,2.32,0.99564239,0.0,0.99861893,0.0008,1.0,50,14
0.0002,0.07,50,0.0011978,0.00122593,0.00102,17,2.32,0.99801091,0.0,0.99855067,0.00068,1.0,50,12
0.0002,0.075,50,0.00121453,0.00126651,0.00104,18,2.32,0.99770631,0.0,0.99937227,0.00069,1.0,50,10
0.0002,0.08,50,0.00116854,0.00117394,0.00096,19,2.32,0.99815796,0.0,0.99953906,0.00063,1.0,50,12
0.0002,0.085,50,0.00113083,0.00110073,0.00089,21,2.32,0.99657194,0.0,0.99944616,0.00059,1.0,50,16
0.0002,0.09,50,0.00106366,0.00097602,0.0008,16,2.32,0.99754351,0.0,0.99949754,0.00052,1.0,50,14
0.0002,0.095,50,0.00108124,0.00100791,0.00082,14,2.32,0.99758946,0.0,0.99919669,0.00054,1.0,50,12
0.0002,0.1,50,0.0010426,0.00093706,0.00074,19,2.32,0.99684897,0.0,0.99896341,0.00047,1.0,50,14
0.0002,0.105,50,0.00108648,0.00101837,0.0008,16,2.32,0.99738465,0.0,0.9991798,0.00052,1.0,50,10
0.0002,0.11,50,0.00096748,0.00080838,0.00064,19,2.32,0.99775227,0.0,0.9993216,0.00041,1.0,50,10
0.0002,0.115,50,0.00097102,0.00081389,0.00063,20,2.32,0.99822886,0.0,0.99906861,0.0004,1.0,50,10
0.0002,0.12,50,0.10012107,0.00165102,0.00734,16,2.29676,0.99777193,0.00149393,0.99896998,0.00385,0.99933,50,12
0.0002,0.125,50,0.00094503,0.00074257,0.0006,14,2.318,0.99830875,0.0,0.99936715,0.00038,1.0,50,8
0.0002,0.13,50,0.00095346,0.00078469,0.0006,7,2.32,0.99882887,0.0,0.99933462,0.00038,1.0,50,8
0.0002,0.135,50,0.00089233,0.00068811,0.00053,10,2.32,0.99913741,0.0,0.99974138,0.00033,1.0,50,8
0.0002,0.14,50,0.00086115,0.00063974,0.00047,18,2.32,0.99828663,0.0,0.9993874,0.00029,1.0,50,10
0.0002,0.145,50,0.00082157,0.0005828,0.00044,9,2.32,0.99969409,0.0,0.99980964,0.00027,1.0,50,6
0.0002,0.15,50,0.00084229,0.0006131,0.00044,13,2.32,0.99861355,0.0,0.99965834,0.00028,1.0,50,10
0.0002,0.155,50,0.00091197,0.00071725,0.00049,7,2.32,0.99897985,0.0,0.99977094,0.00031,1.0,50,8
0.0002,0.16,50,0.00087957,0.00066756,0.00046,7,2.32,0.99993567,0.0,0.99978044,0.00029,1.0,50,4
0.0002,0.165,50,0.00079003,0.00053881,0.00039,7,2.32,0.99886826,0.0,0.99947713,0.00024,1.0,50,6
0.0002,0.17,50,0.00082874,0.00059354,0.00041,14,2.32,0.99861617,0.0,0.99968895,0.00025,1.0,50,8
0.0002,0.175,50,0.00079335,0.00054366,0.00038,5,2.32,0.99913741,0.0,0.99953272,0.00023,1.0,50,6
0.0002,0.18,50,0.00077893,0.00052482,0.00035,9,2.32,0.99855972,0.0,0.99992083,0.00022,1.0,50,6
0.0002,0.185,50,0.00081554,0.00057447,0.00036,12,2.32,0.99878029,0.0,1.0,0.00022,1.0,50,8
0.0002,0.19,50,0.00078899,0.00053772,0.00036,15,2.32,0.99672949,0.0,0.99993526,0.00022,1.0,50,12
0.0002,0.195,50,0.00078211,0.00052839,0.00034,9,2.32,0.99943281,0.0,0.99988177,0.00021,1.0,50,6
0.0002,0.2,50,0.00087052,0.00065262,0.0004,11,2.32,0.99894966,0.0,0.99956685,0.00025,1.0,50,8
0.0004,0.0,39,0.00342642,0.00404681,0.00404,39,2.31988,0.23328357,4.862e-05,0.39949245,0.18933,0.99705,44,40
0.0004,0.005,50,0.00330194,0.00394413,0.00364,49,2.32,0.96928666,0.0,0.99023134,0.00719,1.0,50,46
0.0004,0.01,50,0.003157,0.00383261,0.00344,45,2.32,0.97904303,0.0,0.99492752,0.00503,1.0,50,39
0.0004,0.015,50,0.00301596,0.00370331,0.00328,44,2.32,0.98412144,0.0,0.99512421,0.00409,1.0,50,37
0.0004,0.02,50,0.01044924,0.00371406,0.01058,47,2.31252,0.97923524,0.03019425,0.98997663,0.00824,0.99752,50,39
0.0004,0.025,22,0.8783316,1.0611178,0.44685,17,0.02444,0.15129381,0.7505401,0.28917923,0.24192,0.35572,22,20
0.0004,0.03,32,0.96755495,1.06418685,0.43175,25,0.06012,0.210422,0.44632069,0.29440673,0.24223,0.37845,32,27
0.0004,0.035,44,0.98023758,0.94067761,0.46667,29,0.09564,0.2267182,0.64800502,0.26510589,0.25614,0.38662,44,30
0.0004,0.04,50,1.47657247,0.59303416,0.4381,36,0.2542,0.57766865,0.46994493,0.60583875,0.23583,0.65887,50,39
0.0004,0.045,50,2.23639073,0.04600362,0.1547,40,1.61664,0.95644121,0.01808393,0.97050258,0.07968,0.97774,50,42
0.0004,0.05,50,0.00221732,0.00281887,0.00234,38,2.318,0.9921806,0.0,0.99728901,0.00195,1.0,50,26
0.0004,0.055,50,0.3059664,0.00513666,0.01443,39,2.26664,0.98990249,0.00075671,0.99556405,0.00956,0.99868,50,31
0.0004,0.06,50,0.00203358,0.00258517,0.00211,29,2.318,0.99578107,0.0,0.99689352,0.00167,1.0,50,18
0.0004,0.065,50,0.00195459,0.00250366,0.002,30,2.32,0.99444631,0.0,0.99788142,0.00155,1.0,50,24
0.0004,0.07,50,0.00186466,0.00236084,0.00189,34,2.32,0.99359028,0.0,0.99833075,0.00145,1.0,50,24
0.0004,0.075,50,0.00182128,0.00230964,0.00182,25,2.32,0.99586427,0.0,0.99752111,0.00135,1.0,50,20
0.0004,0.08,50,0.00175535,0.00220922,0.00174,30,2.32,0.99583802,0.0,0.99808304,0.00127,1.0,50,18
0.0004,0.085,50,0.00169021,0.00209949,0.00165,29,2.32,0.99508571,0.0,0.99820971,0.00118,1.0,50,22
0.0004,0.09,50,0.00163322,0.00202148,0.00158,32,2.32,0.99454084,0.0,0.9979145,0.00113,1.0,50,18
0.0004,0.095,50,0.00159065,0.00196224,0.00152,26,2.32,0.99161039,0.0,0.99851056,0.00107,1.0,50,22
0.0004,0.1,50,0.00153986,0.00187297,0.00145,23,2.32,0.99761441,0.0,0.99849437,0.001,1.0,50,14
0.0004,0.105,50,0.00150308,0.00180828,0.0014,25,2.32,0.99628572,0.0,0.99849789,0.00096,1.0,50,18
0.0004,0.11,50,0.00144954,0.00170413,0.00131,21,2.32,0.99717195,0.0,0.99851267,0.00088,1.0,50,14
0.0004,0.115,50,0.00141763,0.00165691,0.00127,25,2.32,0.99759865,0.0,0.99864743,0.00083,1.0,50,12
0.0004,0.12,50,0.00138467,0.00158758,0.00121,26,2.32,0.99463931,0.0,0.99872695,0.00079,1.0,50,19
0.0004,0.125,50,0.00135542,0.00154045,0.00117,28,2.32,0.99640783,0.0,0.99897607,0.00075,1.0,50,18
0.0004,0.13,50,0.00133293,0.00149318,0.00113,23,2.32,0.99657457,0.0,0.99946552,0.00072,1.0,50,14
0.0004,0.135,50,0.00131145,0.00145278,0.00108,20,2.32,0.99883675,0.0,0.99901548,0.00069,1.0,50,12
0.0004,0.14,50,0.00132323,0.00148148,0.00108,13,2.32,0.99820523,0.0,0.99923821,0.00069,1.0,50,10
0.0004,0.145,50,0.00126134,0.00135619,0.00098,18,2.32,0.99909408,0.0,0.99899402,0.00062,1.0,50,8
0.0004,0.15,50,0.00124934,0.00133207,0.00096,17,2.32,0.99871202,0.0,0.99929697,0.00061,1.0,50,8
0.0004,0.155,50,0.00121378,0.00125778,0.00093,14,2.32,0.99769712,0.0,0.99930753,0.00059,1.0,50,8
0.0004,0.16,50,0.00117954,0.00119097,0.00085,13,2.32,0.99794001,0.0,0.9992917,0.00053,1.0,50,10
0.0004,0.165,50,0.00122761,0.00129356,0.0009,19,2.32,0.99834046,0.0,0.99941133,0.00056,1.0,50,10
0.0004,0.17,50,0.00120636,0.00125012,0.00085,19,2.32,0.99802142,0.0,0.99948381,0.00053,1.0,50,10
0.0004,0.175,50,0.00115869,0.00115362,0.00078,9,2.32,0.99921618,0.0,0.9992083,0.00048,1.0,50,6
0.0004,0.18,50,0.00115041,0.00113851,0.00076,18,2.32,0.99779165,0.0,0.99948733,0.00046,1.0,50,10
0.0004,0.185,50,0.00113692,0.00111206,0.00072,14,2.32,0.99893784,0.0,0.99959148,0.00044,1.0,50,5
0.0004,0.19,50,0.00112744,0.00109391,0.00072,16,2.32,0.99821836,0.0,0.99948557,0.00044,1.0,50,10
0.0004,0.195,50,0.00114942,0.00113567,0.00073,17,2.32,0.99724548,0.0,0.99952498,0.00045,1.0,50,12
0.0004,0.2,50,0.00114581,0.00112975,0.0007,16,2.32,0.9986595,0.0,0.99946517,0.00042,1.0,50,8
0.0006,0.0,38,0.00514189,0.00602469,0.00592,38,2.31964,0.15955081,0.00012726,0.31621055,0.20761,0.99558,43,38
0.0006,0.005,50,0.00491023,0.00585909,0.00541,50,2.32,0.9559368,0.0,0.98100422,0.01047,1.0,50,49
0.0006,0.01,50,0.00467743,0.00568995,0.00513,50,2.32,0.96924858,0.0,0.99216221,0.00747,1.0,50,47
0.0006,0.015,50,0.00444527,0.00547747,0.00487,48,2.32,0.97590382,0.0,0.99247502,0.00608,1.0,50,47
0.0006,0.02,15,0.71292837,1.12934469,0.45417,7,0.0058,0.06331698,1.12068966,0.15852887,0.28803,0.2354,15,8
0.0006,0.025,14,0.8372834,1.03242193,0.45231,12,0.01796,0.07918058,1.11576837,0.29755842,0.25407,0.3428,15,13
0.0006,0.03,28,0.99193739,0.99937509,0.46824,22,0.05652,0.18791361,1.29201699,0.29486306,0.25744,0.36275,39,26
0.0006,0.035,43,1.0470446,0.98081583,0.46024,30,0.106,0.26592119,0.55849057,0.30253115,0.24957,0.3986,43,31
0.0006,0.04,50,0.73783769,0.00797778,0.02862,43,2.2006,0.98264973,0.00193584,0.99299722,0.01777,0.99822,50,36
0.0006,0.045,50,1.4908583,0.01566622,0.06416,43,2.03064,0.97487981,0.00509948,0.98597355,0.03652,0.99352,50,41
0.0006,0.05,50,0.87307446,0.00938427,0.02894,41,2.19612,0.98469488,0.00292917,0.99371675,0.01607,0.99741,50,36
0.0006,0.055,50,0.6947879,0.00806846,0.02163,41,2.2272,0.98754097,0.00114943,0.99376657,0.01216,0.99781,50,32
0.0006,0.06,50,0.0028719,0.00372501,0.00303,42,2.32,0.98921692,0.0,0.99569704,0.00248,1.0,50,32
0.0006,0.065,50,0.0028121,0.00357932,0.00302,40,2.31596,0.98940283,1.693e-05,0.9968499,0.00242,0.99998,50,27
0.0006,0.07,50,0.00262455,0.00340609,0.00274,40,2.32,0.99034604,0.0,0.99633955,0.00216,1.0,50,30
0.0006,0.075,50,0.00249704,0.00322996,0.00258,39,2.32,0.99114167,0.0,0.99727657,0.00202,1.0,50,28
0.0006,0.08,50,0.00239485,0.00310346,0.00245,37,2.32,0.99142658,0.0,0.99825229,0.0019,1.0,50,27
0.0006,0.085,50,0.0022943,0.00296724,0.00233,37,2.32,0.99268699,0.0,0.99793702,0.00179,1.0,50,22
0.0006,0.09,50,0.00220585,0.00284658,0.00223,29,2.32,0.99332507,0.0,0.99736946,0.00168,1.0,50,25
0.0006,0.095,50,0.00212307,0.00273092,0.00212,31,2.32,0.99345636,0.0,0.99775792,0.00158,1.0,50,26
0.0006,0.1,50,0.00204961,0.00262603,0.00203,33,2.32,0.99255701,0.0,0.9973684,0.0015,1.0,50,24
0.0006,0.105,50,0.00197568,0.00252673,0.00193,29,2.32,0.99538112,0.0,0.99704117,0.00141,1.0,50,18
0.0006,0.11,50,0.00191739,0.00244243,0.00186,32,2.32,0.99584852,0.0,0.99780014,0.00134,1.0,50,18
0.0006,0.115,50,0.00187631,0.00237806,0.00179,25,2.32,0.99603496,0.0,0.99757776,0.00127,1.0,50,20
0.0006,0.12,50,0.00180576,0.00228316,0.0017,32,2.32,0.99444762,0.0,0.99807776,0.0012,1.0,50,21
0.0006,0.125,50,0.00174786,0.00220248,0.00165,33,2.322,0.99233338,0.0,0.99780766,0.00114,1.0,50,28
0.0006,0.13,50,0.00169571,0.00209266,0.00155,30,2.32,0.99634481,0.0,0.99894722,0.00106,1.0,50,18
0.0006,0.135,50,0.00166566,0.00206289,0.00151,30,2.32,0.99550191,0.0,0.99795109,0.00102,1.0,50,17
0.0006,0.14,50,0.00163569,0.00203216,0.00148,21,2.322,0.99814898,0.0,0.99818664,0.001,1.0,50,10
0.0006,0.145,50,0.00159142,0.00194108,0.0014,23,2.32,0.99946826,0.0,0.99916749,0.00093,1.0,50,6
0.0006,0.15,50,0.00157152,0.00191143,0.00135,17,2.32,0.99539293,0.0,0.99901372,0.0009,1.0,50,16
0.0006,0.155,50,0.00154363,0.00186555,0.00131,23,2.32,0.99705379,0.0,0.99978642,0.00087,1.0,50,16
0.0006,0.16,50,0.00150986,0.0017993,0.00126,25,2.32,0.99568309,0.0,0.99934307,0.00082,1.0,50,16
0.0006,0.165,50,0.00148609,0.00175789,0.00122,28,2.32,0.99746211,0.0,0.99960873,0.00079,1.0,50,12
0.0006,0.17,50,0.00148927,0.00177946,0.00121,21,2.32,0.99817897,0.0,0.99975053,0.00078,1.0,50,12
0.0006,0.175,50,0.00143929,0.0016802,0.00112,19,2.32,0.99783367,0.0,0.99934483,0.00071,1.0,50,14
0.0006,0.18,50,0.00142024,0.00163964,0.00109,22,2.32,0.99755008,0.0,0.99919634,0.00069,1.0,50,12
0.0006,0.185,50,0.00140791,0.00161688,0.00106,19,2.32,0.99680302,0.0,0.99929416,0.00066,1.0,50,14
0.0006,0.19,50,0.00140273,0.00162414,0.00104,22,2.32,0.99776933,0.0,0.9989722,0.00065,1.0,50,14
0.0006,0.195,50,0.00140036,0.00161721,0.00103,19,2.32,0.99868051,0.0,0.99914004,0.00065,1.0,50,10
0.0006,0.2,50,0.00137979,0.00156493,0.00097,18,2.32,0.99675969,0.0,0.99913547,0.0006,1.0,50,14
0.0008,0.0,37,0.00831793,0.0082838,0.00808,35,2.3184,0.08599387,0.00017253,0.22239768,0.22587,0.99357,43,39
0.0008,0.005,50,0.0066757,0.00791305,0.00729,50,2.32,0.94228103,0.0,0.98945673,0.01386,1.0,50,50
0.0008,0.01,50,0.00629094,0.0076154,0.00687,50,2.32,0.95903531,0.0,0.98558023,0.00992,1.0,50,51
0.0008,0.015,50,0.00596294,0.00732731,0.00652,49,2.32,0.96699297,0.0,0.99134272,0.00807,1.0,50,48
0.0008,0.02,8,0.77457571,1.13524465,0.43577,8,0.00808,0.04782329,0.96,0.18213487,0.2861,0.27954,13,9
0.0008,0.025,16,0.89478939,1.05581207,0.46421,13,0.01948,0.08021579,0.75486653,0.22043823,0.27834,0.27624,16,14
0.0008,0.03,19,0.90969782,0.99308446,0.46071,19,0.05112,0.15036379,1.24438185,0.23116022,0.26151,0.35186,25,21
0.0008,0.035,45,0.97757988,0.98424866,0.47296,30,0.09092,0.23481179,1.64206775,0.26823917,0.25447,0.37879,45,30
0.0008,0.04,50,2.63262235,0.12578309,0.3356,45,0.6906800000000001,0.88742094,0.10558985,0.89880115,0.18572,0.92435,50,42
0.0008,0.045,50,2.41997646,0.05965861,0.20413,49,1.38924,0.93651501,0.05769428,0.95661397,0.10907,0.9682,50,43
0.0008,0.05,50,1.9951575,0.0302565,0.10908,49,1.84116,0.95880118,0.01086663,0.97697183,0.0547,0.98662,50,46
0.0008,0.055,50,1.63201068,0.03125081,0.10647,49,1.85104,0.9602273,0.02905351,0.97790684,0.05693,0.98482,50,49
